SR,Township,Village,Village_MM,Location,Locals_Used_ENG,Locals_Used_MM
53,Magway,Minhla,Zee Taw,ဇီးတော,"19.7324199676514,94.9393081665039",0,0
54,Magway,Minhla,Zay Gyi,ဈေးကြီး,"19.74778,94.637993",0,0
55,Magway,Minhla,Hnyin Thun,ညှင်းသွန်း,"19.7318801879883,94.8962936401367",0,0
56,Magway,Minhla,Nyaung Nwe,ညောင်နွယ်,"19.7564105987549,94.5341186523438",0,0
57,Magway,Minhla,Nyaung Pin Kyin,ညောင်ပင်ကျင်း,"19.911596,94.998985",0,0
58,Magway,Minhla,Nyaung Pin Te,ညောင်ပင်တဲ,"19.6369495391846,94.9582138061523",0,0
59,Magway,Minhla,Nyaung Pin Thar (West),ညောင်ပင်သာ (အနောက်),"19.9931106567383,94.9941864013672",0,0
60,Magway,Minhla,Nyaung Pin Thar (East),ညောင်ပင်သာ (အရှေ့),"19.9962997436523,94.9969024658203",0,0
61,Magway,Minhla,Nyaung Waing,ညောင်ဝိုင်း,"19.8049297332764,94.9870681762695",0,0
62,Magway,Minhla,Ta Mar Kyaw,တမာကျော,"19.6286697387695,95.0451202392578",0,0
63,Magway,Minhla,Ta Loke Pin Kaing,တလုတ်ပင်ကိုင်း,"19.6418704986572,94.9773864746094",0,0
64,Magway,Minhla,Ta Loke Yin (Ah Nauk Su),တလုပ်ရင်း (အနောက်စု),"19.5798397064209,94.9149932861328",0,0
65,Magway,Minhla,Ta Loke Yin (Ah Shey Su),တလုပ်ရင်း (အရှေ့စု),"19.579610824585,94.9208068847656",0,0
66,Magway,Minhla,Ta Loke Yin (Ah Lel Su),တလုပ်ရင်း (အလယ်စု),"19.5799407958984,94.9184036254883",0,0
67,Magway,Minhla,Taung U,တောင်ဦး,"19.9157009124756,94.9120330810547",0,0
68,Magway,Minhla,Te Gyi Kone,တဲကြီးကုန်း,"19.7239799499512,94.5854263305664",0,0
69,Magway,Minhla,Htan Kaing,ထန်းကိုင်း,"19.9333896636963,94.9333724975586",0,0
70,Magway,Minhla,Dee Doke Kan,ဒီးဒုတ်ကန်,"19.7945594787598,94.8296203613281",0,0
71,Magway,Minhla,Daung Boke,ဒေါင်းဘုတ်,"19.8414707183838,94.9628067016602",0,0
72,Magway,Minhla,Dat Kone,ဓာတ်ကုန်း,"19.80658,94.778793",0,0
73,Magway,Minhla,Na Gar Aing,နဂါးအိုင်,"19.8516597747803,94.7742080688477",0,0
74,Magway,Minhla,Nwar Le,နွားလဲ,"19.8509197235107,94.740966796875",0,0
75,Magway,Minhla,Pin Ga,ပင်္ဂ,"19.6028995513916,94.9741973876953",0,0
76,Magway,Minhla,Pa Ni Son,ပနီဆုံ,"19.7620964050293,94.5291290283203",0,0
77,Magway,Minhla,Pan Taw Pyin,ပန်းတော်ပြင်,"19.942289352417,95.0179672241211",0,0
78,Magway,Minhla,Pyin Pin,ပျဉ်းပင်,"19.7695617675781,94.5654602050781",0,0
79,Magway,Minhla,Pyin Pin San,ပျဉ်းပင်စမ်း,"19.6318893432617,94.8968811035156",0,0
80,Magway,Minhla,Pyi Soe,ပြည်စိုး,"19.757502,94.837105",0,0
81,Magway,Minhla,Pay Taw (Kan Nar),ပေတော (ကန္နား),"19.8889904022217,95.1006164550781",0,0
82,Magway,Minhla,Pay Taw Kone,ပေတောကုန်း,"19.6100292205811,94.7853469848633",0,0
83,Magway,Minhla,Pay Yin,ပေရင်း,"19.6968193054199,94.9661865234375",0,0
84,Magway,Minhla,Bant Pyin,ဘန့်ပြင်,"19.646748,94.648506",0,0
85,Magway,Minhla,Bway Gyi,ဘွေကြီး,"19.5979499816895,94.9398880004883",0,0
86,Magway,Minhla,Bweit,ဘွဲ့,"19.724910736084,94.9133377075195",0,0
87,Magway,Minhla,Hpa Yar Kyin,ဘုရားကျင်း,"19.6121292114258,94.7125091552734",0,0
88,Chin,Falam,Airebual,အိုင်ရဲဘွာလ်,"23.0214405059814,93.5229263305664",0,0
89,Chin,Falam,Bocung,ဘိုကျုံး,"23.1537208557129,93.550651550293",0,0
90,Chin,Falam,Bualkhua,ဘွာလ်ခွာ,"23.0776100158691,93.6852111816406",0,0
91,Chin,Falam,Bualmin,ဘွာလ်မင်း,"23.1035308837891,93.6275634765625",0,0
92,Chin,Falam,Khumhmun,ခုမ်မွန်,"23.0577006,93.6341772",0,0
93,Chin,Falam,C. Zamual,စီဇာမွာလ်,"22.9319095611572,93.6671371459961",0,0
94,Chin,Falam,Congheng,ကြောင်ဟဲင်း,"22.9426708221436,93.6691513061523",0,0
95,Chin,Falam,Var Sa Khan,ဗားရ်စခန်း,"22.9619998931885,93.6823501586914",0,0
96,Chin,Falam,Cawhte (Tsaw The),ကျော့သဲ,"23.2933902740479,93.4458770751953",0,0
97,Chin,Falam,Haiheng,ဟိုင်ဟဲင်း,"23.3044395446777,93.4214630126953",0,0
98,Chin,Falam,Lianhna (Haung),လျန်နှာ (ဟောင်း),"23.3256607055664,93.4271926879883",0,0
99,Chin,Falam,Lianhna (New),လျန်နှာ (သစ်),"23.3481006622314,93.4092102050781",0,0
100,Chin,Falam,Cerhmun,ကျဲရ်မွန်,"22.9454803466797,93.5758666992188",0,0
101,Chin,Falam,Khuarua,ခွာရွာ,"22.9236602783203,93.5830764770508",0,0
102,Chin,Falam,Conghoih,ကြောင်ဟွေ့,"23.1766204833984,93.4649429321289",0,0
103,Chin,Falam,Congkua,ကြောင်းကွာ,"22.9270305633545,93.765998840332",0,0
104,Chin,Falam,Vanniam,ဗန်နိအမ်,"22.9330643,93.782774",0,0
105,Chin,Falam,Congthe,ကြောင်ထဲ,"22.9088897705078,93.6997528076172",0,0
106,Chin,Falam,Darteti,ဒါရ်သဲသီး,"23.0155506134033,93.4704971313477",0,0
107,Chin,Falam,Khuanglung,ခွန်လုံး,"23.0269908905029,93.5043563842773",0,0
108,Chin,Falam,Uisi,အွေးစိ,"22.9995899200439,93.4827575683594",0,0
109,Chin,Falam,Duhmang,ဒုမန်း,"23.0978107452393,93.8006973266602",0,0
110,Chin,Falam,Zawlpi,ဇောလ်ပီး,"23.1256008148193,93.8439865112305",0,0
111,Chin,Falam,Farkhawm,ဖာရ်ခေါမ်း,"23.0702991485596,93.7249069213867",0,0
112,Chin,Falam,Khuangmual,ခွန်းမွာလ်,"23.0911102294922,93.7466888427734",0,0
113,Chin,Falam,Hlawnmual,လှောင်မွာလ်,"22.9598903656006,93.641731262207",0,0
114,Chin,Falam,Dolhkhel,ဒွေ့ခဲလ်,"23.1882495880127,93.4047775268555",0,0
115,Chin,Falam,Hmawngkawn,မှောင်ကွန်,"23.1753196716309,93.4191589355469",0,0
116,Chin,Falam,Hmawngkawn (new),မှောင်ကွန်သစ်,"23.174743,93.4001312",0,0
117,Chin,Falam,Khuapisip,ခေါ်ပီးရှစ်,"23.1912097930908,93.4232635498047",0,0
118,Chin,Falam,Hmunli,မွန်လီ,"22.9809494018555,93.7556228637695",0,0
119,Chin,Falam,Tlangphai,ထလန်ဖိုင်,"22.9826985,93.759815",0,0
120,Chin,Falam,Hrianghgnang,ဟရိန်နှန်,"22.8298301696777,93.4866333007813",0,0
121,Chin,Falam,K.Haimual,ကေဟိုင်မွာလ်,"22.8521404266357,93.7652435302734",0,0
122,Chin,Falam,Tualzeh,တွာလ်ရဲ့,"22.8592090606689,93.793701171875",0,0
123,Chin,Falam,Khitam,ခိသမ်း,"22.9785995483398,93.8730621337891",0,0
124,Chin,Falam,Khuadar,ခေါဒါရ်,"23.1830196380615,93.595100402832",0,0
125,Chin,Falam,Hlanzawl,လှန်ဇောလ်,"23.0316038,93.6987828",0,0
126,Chin,Falam,Khualei,ခေါလယ်,"23.0183391571045,93.7176284790039",0,0
127,Chin,Falam,Bomba,ဗွမ်းဘား,"22.9403991699219,93.4578628540039",0,0
128,Chin,Falam,Khualung,ခေါ်လုံး,"22.9573402404785,93.4657592773438",0,0
129,Chin,Falam,Hrangsawn,ဟရန်ဆောန်,",",0,0
130,Chin,Falam,Khuangli,ခွန်လီ,"22.9881706237793,93.6375122070313",0,0
131,Chin,Falam,Cicai (Kyi Kyaing),ကြီးကြိုင်,"23.1349792480469,93.6143188476563",0,0
132,Chin,Falam,Congthu,​ကြောင်းထူး,",",0,0
133,Chin,Falam,Khuapual,ခေါ်ပွာလ်,"23.1450290679932,93.5869598388672",0,0
134,Chin,Falam,Bualzawl,ဘွာလ်ဇောလ်,"22.9997406005859,93.570442199707",0,0
135,Chin,Falam,Khuasum,ခေါ်ဆွမ်း,"23.025110244751,93.5607528686523",0,0
136,Chin,Falam,Khuathlir,ခေါ်ထီရ်,"23.2896995544434,93.3883666992188",0,0
137,Chin,Falam,Rihkhawdar,ရိခေါ်ဒါရ်,"23.3265209197998,93.3935165405273",0,0
138,Chin,Falam,Khumzing,ခုမ်းဇိန်း,"23.0106906890869,93.7740631103516",0,0
139,Chin,Falam,Simcing,ဆိမ်ကျိန်း,"22.9963614,93.8196083",0,0
140,Chin,Falam,Thanghluang (Htang Hluang),ထန်လွန်း,"23.0041198730469,93.7645034790039",0,0
141,Chin,Falam,Haitui,ဟိုင်သွေး,",",0,0
142,Chin,Falam,Khupleng,ခုပ်လဲင်,"22.8973293304443,93.9083633422852",0,0
143,Chin,Falam,Lungpi,လုံပီး,",",0,0
144,Chin,Falam,Tidil,သီဒီးလ်,",",0,0
145,Chin,Falam,Tolung,သိုလုံး,"22.8787097930908,93.9060897827148",0,0
146,Chin,Falam,Darbo,ဒါရ်ဘိုး,"22.8499393463135,93.9305419921875",0,0
147,Chin,Falam,Hmungsum,မှုန်ဆွမ်း,"22.82785987854,93.8606033325195",0,0
148,Chin,Falam,Kundon,ကွန်ဒွန်,"22.8584899902344,93.8741073608398",0,0
149,Chin,Falam,L. Hmunpi,အဲလမွန်ပီး,"22.872200012207,93.6587600708008",0,0
150,Chin,Falam,L. Zamual,အဲလ်ဇာမွာလ်,"22.9058208465576,93.5277328491211",0,0
151,Chin,Falam,Auhmun,အာအိုမွန်,"23.1086006164551,93.5098037719727",0,0
