Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
Anyar Myay PDF,17 September 2022,21 June 2023,PDF,5,11,0,0,31,1
Chaung-U Local Defence Force (CLDF),3 March 2022,3 March 2023,PDF,5,25,0,12,91,0
Other,5 March 2021,22 October 2022,EAO,23,44,1,0,108,1
Datha Monywa PDF,17 May 2022,3 June 2023,PDF,2,18,0,0,14,2
Pakokku Urban Guerrilla Force (PUGF),19 May 2022,11 December 2022,PDF,5,13,3,0,40,2
People Defence Force of Magway,28 May 2022,13 April 2023,PDF,8,21,1,3,107,4
Ranger Kalay Defence Force -RKDF,1 May 2022,25 June 2023,PDF,1,19,5,0,94,9
Red Dragon Guerrilla Force (Myaing),17 October 2022,11 June 2023,PDF,5,10,0,0,29,0
Royal Eagle PDF,16 June 2022,18 June 2023,PDF,3,17,0,0,12,1
Golden Star Force,24 March 2023,23 June 2023,PDF,5,6,0,0,13,0
Red Eagle PDF,18 May 2022,15 April 2023,PDF,4,22,0,4,27,0
Shwebo LDF,24 June 2022,1 July 2023,PDF,3,14,0,0,71,0
Thayarwady District PDF,20 May 2022,6 July 2023,PDF,6,44,0,15,63,2
ADRF Revolution Alliance - Madaya,31 December 2022,24 February 2023,PDF,4,12,0,0,9,0
Bo Moke Sate PDF,8 June 2022,16 May 2023,PDF,5,11,0,0,62,0
Byata Brothers,13 May 2022,28 November 2022,PDF,2,5,0,0,47,0
TYK Guerrilla Force,28 January 2023,28 June 2023,PDF,3,12,0,1,24,0
CDF – Thantlang,22 May 2022,12 June 2023,PDF,3,28,0,0,74,14
Kind-hearted Bone-heads - Myingyan,2 May 2022,28 May 2023,PDF,4,7,0,4,46,0
Lion Battalion Commando Special Force,21 October 2022,2 July 2023,PDF,4,19,1,1,163,10
South Monywa PDF,16 April 2022,29 May 2023,PDF,4,18,3,0,55,1
Tike Nel Sun PDF,15 June 2022,6 July 2023,PDF,2,25,1,3,76,1
VOMDY-Front Warrior,4 December 2022,13 February 2023,PDF,7,18,2,0,62,1
Aung San Generation Monywa,19 June 2022,24 April 2023,PDF,4,11,1,0,34,9
Myae Lat Region Guerrilla (MRG),4 November 2022,8 February 2023,PDF,1,8,0,0,5,0
Pakokku Underground Force - PUGF,17 May 2022,7 July 2023,PDF,2,14,0,6,8,0
Spaceman Salingyi Drone Army (SSDA),24 February 2023,1 July 2023,PDF,4,14,0,0,4,0
MPDF,22 July 2022,16 May 2023,PDF,3,10,0,0,18,0
Myaung PDF,7 April 2022,1 July 2023,PDF,6,19,0,0,76,5
Nat Soe PDF,19 May 2022,25 June 2023,PDF,4,24,5,0,121,1
Unknown - Civilians,6 May 2022,3 July 2023,Civilian,41,46,17,12,6,2
Woman / women,9 July 2022,2 July 2023,Civilian,36,46,21,9,0,2
Daung Thwe Ni PDF,10 May 2022,7 July 2023,PDF,4,12,0,0,18,0
Kyauk Lone Gyi,13 May 2022,14 May 2023,PDF,4,16,0,0,84,5
M7 People's Defence Army,22 July 2022,22 February 2023,PDF,3,10,0,0,16,0
Super Fighter PDF - Yesagyo,19 August 2022,28 June 2023,PDF,3,15,0,0,40,0
Taung Thu Gyi Group,22 January 2023,17 June 2023,PDF,1,12,0,0,72,0
5/ Teachers PDF,8 October 2022,3 July 2023,PDF,2,12,2,0,42,6
Salingyi Revolution Defense Force (SRDF),8 February 2022,7 March 2023,PDF,2,5,0,0,44,0
Shwebo Falcon LDF,18 July 2022,8 April 2023,PDF,1,7,0,1,16,0
Chindwin Dynamite,23 March 2023,7 July 2023,PDF,4,10,0,0,1,0
Myae Let PDF - Myingyan,2 May 2022,29 October 2022,PDF,5,11,0,3,85,2
Myeik PDF,3 May 2022,4 July 2023,PDF,4,23,0,3,68,2
Yaung Ni Drone Force,4 October 2022,20 April 2023,PDF,1,14,0,0,40,0
People’s Servant Revolution- Wetlet,28 November 2022,5 July 2023,PDF,3,21,15,0,64,0
Others,22 February 2021,22 June 2023,SAC,32,38,5,12,5,2
Peacock Warrior Force Madaya,3 June 2022,27 June 2023,PDF,3,13,0,0,19,0
Red Dragon Revolution Force,13 May 2022,11 May 2023,PDF,5,12,0,1,20,2
Ta Mar Myay Guerrilla Force,5 May 2022,29 November 2022,PDF,3,11,0,0,24,0
Unity Force Monywa,29 March 2022,7 January 2023,PDF,5,13,0,0,8,0
Ayeyarwaddy Brothers Revolution Force - ABRF Madaya,11 August 2022,26 June 2023,PDF,3,17,0,1,35,0
Hero New GZ,21 October 2022,1 June 2023,PDF,3,9,0,0,11,0
Kyaukhtu PDF,14 May 2022,3 June 2023,PDF,4,23,0,0,72,1
Ponnaka PDF,24 July 2022,20 May 2023,PDF,3,19,0,0,20,2
Red Dragon Defence of Force,19 May 2022,8 June 2023,PDF,7,13,6,1,70,0
Yinmarbin Local People’s Defence Force -YMBLPDF,11 February 2022,6 July 2023,PDF,4,13,0,1,46,1
Dar Ma Saing Army (DMSA),25 November 2022,7 July 2023,PDF,3,17,2,0,58,0
Nyi Naung Thone Hpaw PDF,31 October 2022,11 June 2023,PDF,3,11,0,2,19,3
Forest Crow PDF,15 June 2022,23 June 2023,PDF,7,8,0,0,32,0
King Cobra PDF,2 November 2022,11 June 2023,PDF,4,13,0,1,11,2
Mahuya Alintan Guerrilla Force,19 May 2022,28 May 2023,PDF,2,6,0,1,21,0
Monywa Ranger Force - Truth Army,5 May 2022,3 May 2023,PDF,3,17,2,0,54,1
Sayar Chit and Brothers,24 October 2022,28 November 2022,PDF,2,4,0,0,32,0
Thwaythauk Revolution Force,7 June 2022,27 February 2023,PDF,2,9,0,0,42,0
Mae Maung PDF,27 March 2023,8 May 2023,PDF,4,6,0,0,0,0
People Defence Force - White Tiger,6 May 2022,10 July 2023,PDF,3,23,4,0,109,2
PPDF - KD,9 April 2023,8 July 2023,PDF,2,13,0,0,9,0
Ye Ogre PDF,10 May 2022,28 June 2023,PDF,1,42,1,14,88,0
Anyar Brother LPDF Collective Force - ABCF,8 February 2023,7 July 2023,PDF,2,11,0,0,6,0
Sayasan YMB PDF,14 February 2022,16 May 2023,PDF,2,15,0,0,37,3
Shwe Lal Kyun LPDF,10 August 2022,30 March 2023,PDF,1,7,0,0,32,0
Kind-hearted Bone-heads PDF,2 March 2022,25 October 2022,PDF,5,11,0,0,42,0
Sidoktaya PDF,6 June 2022,28 March 2023,PDF,3,4,0,0,31,0
Bo Sar Guerrilla Force,2 March 2022,9 May 2023,PDF,3,13,1,1,79,2
Paungbyin PDF,28 April 2022,6 June 2023,PDF,3,23,0,0,88,14
Zero Fighters PDF,22 January 2022,23 May 2023,PDF,9,14,1,0,91,2
Burmese Revolution Youths,2 September 2022,31 May 2023,PDF,3,10,0,0,24,0
Fire Dragon Guerrilla Force,7 May 2022,8 May 2023,PDF,7,12,0,2,65,0
K.N.T Guerrilla Force,15 June 2022,5 October 2022,PDF,1,11,0,0,41,0
Kamma PDF,6 June 2022,5 July 2023,PDF,5,17,0,0,37,0
Northern-Yesagyo Guerrilla Force,19 May 2022,12 February 2023,PDF,2,12,0,0,50,0
Bat Ma Lite Guerrilla Force,7 November 2022,4 July 2023,PDF,2,14,0,0,41,2
Galone LPDF,21 October 2022,7 June 2023,PDF,4,13,0,0,28,0
PK for All People - PDF,5 January 2023,23 June 2023,PDF,4,5,0,0,0,0
Bilin PDF,11 May 2022,7 June 2023,PDF,3,18,2,1,20,0
Bo Thanmani - YMB PDF,15 June 2022,28 November 2022,PDF,2,3,0,0,32,0
Chindwin GZ Defense Force (KPDF),22 July 2022,28 November 2022,PDF,2,3,0,0,30,0
Kyaikto PDF,10 June 2022,7 July 2023,PDF,2,13,0,0,8,0
Pakokku People Defense Force - PPDF,20 January 2023,19 June 2023,PDF,4,16,0,0,12,0
SRA,28 November 2022,4 January 2023,PDF,1,3,0,0,30,0
Takaung PDF,28 December 2022,23 May 2023,PDF,2,29,0,0,186,1
Kani PDF,30 April 2022,17 May 2023,PDF,4,18,0,0,32,2
Pyay District PDF,15 June 2022,26 June 2023,PDF,7,29,0,5,49,3
Saka Guerrilla Force,17 September 2022,9 January 2023,PDF,1,5,0,0,10,0
Taungoo District PDF,30 April 2022,7 July 2023,PDF,6,32,0,3,112,1
Ar Lar Wa Ka PDF,18 April 2023,23 June 2023,PDF,4,5,0,0,0,0
Bo 60 Guerrilla Force,24 August 2022,30 January 2023,PDF,1,5,0,0,31,0
Zarmani Revolution Force,28 December 2022,18 April 2023,PDF,4,13,0,0,10,2
AREA 71 Defence Force Monywa,2 November 2022,24 June 2023,PDF,2,16,1,0,21,0
Black Garuda PDF,22 May 2022,5 May 2023,PDF,5,13,0,0,28,0
Pone Taung Brothers PDF,6 August 2022,9 January 2023,PDF,2,5,0,0,42,3
Takhin Mya Artillery Force,8 July 2022,14 April 2023,PDF,3,10,0,0,13,0
Taung Nyo People's Guerrilla Force,1 July 2022,30 May 2023,PDF,3,32,2,1,84,0
King Viper PDF,7 November 2022,2 July 2023,PDF,3,20,0,1,96,0
Sintgaing Local People's Defence Force,25 July 2022,5 July 2023,PDF,6,12,0,2,31,0
Sit Kyun Ma Khan Mway Soe Ta Taik PDF,6 August 2022,15 March 2023,PDF,5,11,0,0,9,3
Southern Pauk Guerrilla Force - SPGF,2 May 2022,28 June 2023,PDF,3,22,3,10,62,3
Black Cobra,8 July 2022,27 June 2023,PDF,3,8,0,0,14,0
Myae Lat PDF,2 March 2022,2 October 2022,PDF,4,8,0,1,56,0
Nant Thar Myaing Guerrilla Force,5 May 2022,29 March 2023,PDF,2,7,0,0,18,0
Nway Oo Dakho PDF,5 August 2022,25 February 2023,PDF,3,13,0,7,21,2
Real Heros PDF,12 November 2022,10 May 2023,PDF,3,10,0,0,7,3
Salingyi Revolution Eagles,28 November 2022,28 November 2022,PDF,1,2,0,0,30,0
Shwe Dar Bo (SDB) PDF,8 November 2022,22 March 2023,PDF,3,6,0,0,2,0
Tiger Bann,28 November 2022,28 November 2022,PDF,1,2,0,0,30,0
Bo Kyar Thit group,2 May 2022,25 June 2023,PDF,2,4,0,0,55,0
Bo Pauk Kyaing PDF,17 May 2022,24 January 2023,PDF,1,9,0,0,4,0
Freedom Revolution Force (FRF),8 June 2022,3 July 2023,PDF,5,20,0,0,50,0
Golden Eagles PDF,16 April 2022,1 July 2023,PDF,5,12,0,0,50,4
Kawlin PDF,22 June 2022,30 June 2023,PDF,4,25,24,0,75,4
Northern Thandaung Force (NTDF),28 May 2022,3 June 2023,PDF,4,29,0,0,123,0
Shwe Nyi Ko Group,24 March 2023,23 June 2023,PDF,3,4,0,0,0,0
Spring Eagle PDF,30 July 2022,21 October 2022,PDF,2,9,0,0,10,0
Fight For People (FFP),8 August 2022,19 March 2023,PDF,2,15,0,0,13,1
God of Myaing,28 May 2022,22 February 2023,PDF,3,9,0,0,32,6
Mahuya Wild Horse PDF,6 June 2022,19 February 2023,PDF,2,11,0,0,105,0
Peacock King Operation Team (TYC-PDF),3 June 2022,12 June 2023,PDF,1,19,1,0,92,10
VAKOK (CNDF),1 May 2022,29 June 2023,PDF,1,13,5,0,75,4
Blood Brothers PDF,29 October 2022,1 July 2023,PDF,2,10,0,0,11,0
Monywa District - Lightning PDF,12 November 2021,2 July 2023,PDF,5,18,0,0,40,0
Monywa Dynamite,25 December 2022,6 July 2023,PDF,1,12,0,0,5,0
North Yamar PDF,5 March 2022,8 July 2023,PDF,3,14,1,1,65,2
Pan Pyo Lat PDF,3 March 2023,23 June 2023,PDF,2,7,0,0,29,1
People Defence Army (PDA),23 June 2022,11 July 2023,PDF,6,9,0,0,44,5
True Fighter MMU,8 July 2022,16 April 2023,PDF,1,23,0,0,56,0
5/ UG,8 October 2022,4 June 2023,PDF,2,12,0,0,19,0
Chindwin Toe Na Yar PDF,5 January 2023,9 June 2023,PDF,4,11,0,0,7,3
Dawei Defence Team (DDT),28 March 2022,26 May 2023,PDF,3,22,0,10,18,6
King of Forest PDF,5 June 2022,27 January 2023,PDF,2,7,0,0,0,0
Launglone People Defence Force (LLPDF),23 November 2022,5 July 2023,PDF,2,27,0,7,13,1
Red Dragon Column,29 September 2022,27 June 2023,PDF,4,16,0,0,48,1
Shwebo Fighter One,29 April 2022,22 January 2023,PDF,2,7,0,0,42,0
The Youth Force (Saw & Kyaukhtu),15 May 2022,29 May 2023,PDF,2,15,0,0,58,1
Black Tiger Monywa PDF,17 May 2022,7 September 2022,PDF,2,7,0,0,2,0
Dawei Dragon PDF,3 July 2022,12 June 2023,PDF,3,11,0,2,16,6
Gangaw PDF,27 April 2022,3 June 2023,PDF,3,21,1,0,24,7
KLG PDF,5 April 2022,4 July 2023,PDF,5,16,1,0,73,5
Myaing Revolution Army,15 May 2022,22 May 2023,PDF,3,10,0,0,20,0
Nine Star PDF,14 June 2022,4 June 2023,PDF,2,10,0,0,35,0
Palaw Kayin PDF (KPDF),19 July 2022,12 April 2023,PDF,2,19,0,2,57,2
Palaw Region Defence Force (PRDF),29 May 2022,25 June 2023,PDF,1,20,0,1,27,0
Pyinoolwin District PDF,6 March 2023,9 July 2023,PDF,5,15,1,0,19,0
Shwe Ao Revolution Force,12 June 2022,6 September 2022,PDF,2,5,0,0,21,0
Union Independence Alliance,3 October 2022,25 May 2023,PDF,2,6,0,0,30,0
Urban Underground Revolution Force (UURF),28 April 2022,11 June 2023,PDF,4,8,0,10,35,2
Youth Guerrilla Counter Revolution (TGYR),7 October 2022,26 May 2023,PDF,2,13,0,8,29,0
Zarmani Daung LPDF,24 August 2022,21 October 2022,PDF,1,4,0,1,7,0
Zaya Thway Kyar Yine PDF,24 August 2022,21 October 2022,PDF,1,4,0,1,7,0
Zoe Fighter PDF,9 March 2023,2 July 2023,PDF,4,5,0,0,12,0
Ayeyarwaddy Swallow PDF,1 February 2023,8 March 2023,PDF,3,10,0,0,20,0
Bamar Peacock Guerrilla Force,12 May 2022,9 January 2023,PDF,1,5,0,0,9,0
Bo Thurein PDF,9 March 2022,7 March 2023,PDF,4,13,0,0,3,0
Budalin PDF,28 October 2021,9 July 2023,PDF,1,23,0,0,48,3
Daung Fighter (MMU) PDF,26 November 2022,30 May 2023,PDF,4,9,0,2,23,0
Ukraine Jeep Car PDF,23 February 2023,4 April 2023,PDF,2,8,0,0,12,0
Fire Dragon PDF,29 April 2022,31 May 2023,PDF,4,10,1,0,3,1
Hero Group PDF,19 June 2022,28 March 2023,PDF,4,10,0,1,7,1
Mawlaik PDF,2 May 2022,30 June 2023,PDF,2,23,0,0,100,0
Special Guerrilla Force - Pakokku,18 December 2022,28 May 2023,PDF,2,14,0,10,52,0
Aung Tha Byay PDF,29 November 2022,20 June 2023,PDF,3,6,0,0,28,0
Chinland Defence Force - Kalay Kabaw Gangaw,13 July 2022,29 August 2022,PDF,2,13,1,0,71,3
Galon Guerrilla Force,15 June 2022,1 December 2022,PDF,3,8,0,0,27,0
Ngazun PDF,5 December 2022,27 May 2023,PDF,2,9,0,0,27,0
Northern Seikphyu PDF,22 May 2022,30 June 2023,PDF,2,14,0,0,40,2
West Plain PDF,29 April 2022,5 June 2023,PDF,3,7,3,0,72,2
CDF CDM - Siyin,17 June 2022,11 July 2023,PDF,3,16,1,0,41,4
Cloud Wings Drone,2 June 2023,6 July 2023,PDF,2,15,4,0,17,0
Lightning Guerrilla Force,20 December 2022,19 May 2023,PDF,8,15,0,0,54,0
Myinmu Revolution Force (MMRF),22 November 2022,29 April 2023,PDF,3,7,0,0,6,0
Wolf Guerrilla LDF - Ye-U,26 June 2022,31 May 2023,PDF,5,11,0,2,32,0
YLK New Power PDF,11 August 2022,31 December 2022,PDF,2,7,0,0,38,1
Yoma Fighter Rambo PDF (Yinmarbin),22 May 2022,1 March 2023,PDF,3,8,0,0,48,0
"""Twe Yar Thin Chaing Dar Ma Saing"" PDF",1 May 2022,16 January 2023,PDF,3,21,0,0,58,1
Black God PDF,13 May 2022,25 June 2023,PDF,4,13,0,0,38,0
One Day Revolution Force,20 August 2022,4 June 2023,PDF,3,10,0,0,40,0
People's Defence Army-Yinmarbin,17 January 2023,16 May 2023,PDF,2,5,0,0,0,0
United Resistance Force -URF,29 July 2022,4 February 2023,PDF,4,10,0,0,10,5
Bagan - Nyaung-U PDF,23 May 2022,1 June 2023,PDF,5,8,0,0,10,0
Black Cobra Force (BCF) - Pakokku,4 June 2022,25 April 2023,PDF,4,9,1,0,18,0
Hawk Revolution Squad (HRS),11 January 2023,29 April 2023,PDF,2,15,3,0,24,0
Patheingyi PDF,5 August 2022,28 June 2023,PDF,4,14,1,2,40,1
RSO PDF - Pakokku,19 July 2022,10 October 2022,PDF,2,7,0,0,9,2
Saw PDF (Yaw Region PDF's Alliance - YRPA),9 June 2022,21 June 2023,PDF,3,14,0,0,77,0
Myo Hla KPDF,22 May 2022,4 July 2023,PDF,2,27,2,0,129,3
Phoenix Without Borders Guerrilla Force,25 December 2022,8 May 2023,PDF,3,4,0,0,0,0
Tar Naw Yat Kha PDF,23 February 2023,23 June 2023,PDF,2,8,0,0,30,1
Burma Rangers (ShweBo),8 October 2022,16 June 2023,PDF,2,16,1,0,91,2
Infinite Revolution Force (IRF),17 September 2022,21 June 2023,PDF,3,8,0,0,20,0
Leopard Defence Force,5 August 2022,28 May 2023,PDF,4,5,0,4,34,0
South Yesagyo PDF,30 April 2022,15 December 2022,PDF,5,10,0,0,18,0
Ye Guerrilla Force - YGF,26 June 2022,6 July 2023,PDF,2,25,1,2,24,0
Ayadaw Golden Dove PDF,2 May 2022,28 August 2022,PDF,3,7,0,1,23,0
Bo Ba Taw PDF,24 August 2022,30 January 2023,PDF,1,4,0,1,18,0
Hkamti District PDF,11 November 2022,6 June 2023,PDF,1,11,1,0,98,5
Unknown - Others,18 February 2021,18 January 2023,Other,18,25,4,0,40,1
Eagle Freedom Fighter,26 September 2022,29 December 2022,PDF,3,6,0,0,9,0
Generation Z PDF,19 November 2022,9 March 2023,PDF,3,6,0,0,5,0
Golden Triangle - Yinmarbin PDF,9 March 2022,19 February 2023,PDF,2,11,0,0,43,0
MVP Force,21 October 2022,13 June 2023,PDF,2,7,1,0,8,1
Myingyan MGK Guerrilla Force,22 August 2022,24 August 2022,PDF,2,3,0,0,22,0
Myingyan Twenty One Guerilla Force,22 August 2022,24 August 2022,PDF,2,3,0,0,22,0
PDF - Salin,13 May 2022,9 February 2023,PDF,3,15,1,0,34,1
Bermuda PDF,9 October 2022,28 May 2023,PDF,1,3,0,0,12,0
Bo Tiger PDF - Wetlet,16 May 2022,4 June 2023,PDF,4,20,7,4,14,4
Burmese Farmers Defense Force (BFDF),21 February 2022,23 October 2022,PDF,4,8,0,1,36,0
K.K.Fighter Group,17 May 2022,17 May 2022,PDF,1,6,0,0,0,0
Little Hunter PDF,22 December 2022,29 May 2023,PDF,1,10,0,0,5,0
Monywa Generation Tigers,17 May 2022,17 May 2022,PDF,1,6,0,0,0,0
Myanmar Defence Force (Hydra Force),2 September 2022,1 July 2023,PDF,4,13,1,0,28,9
Pakokku Special Task Force,16 March 2023,1 June 2023,PDF,4,6,0,10,12,0
Storm Force,25 November 2022,1 June 2023,PDF,3,8,1,1,22,0
Banmauk PDF,23 June 2022,6 June 2023,PDF,1,22,0,0,37,8
Black Eagle PDF,24 May 2022,8 June 2023,PDF,4,9,0,0,46,0
Depayin PDF,17 May 2022,5 July 2023,PDF,6,12,0,0,60,0
Desert's Falcon PDF,2 May 2022,5 June 2022,PDF,2,3,0,0,73,0
GGG,2 May 2022,6 September 2022,PDF,1,2,0,0,47,0
Sein Pan Ni Ni Drone Force,12 March 2023,29 May 2023,PDF,1,14,0,0,12,0
Swallow PDF,8 November 2022,24 February 2023,PDF,4,12,0,0,26,0
Thunder Guerrilla Force - Madaya,25 December 2022,4 July 2023,PDF,3,11,0,0,31,0
Anonymous Fighters Force (AFF),20 March 2023,5 July 2023,PDF,8,12,0,0,0,0
Lightning Guerrilla Force - Wetlet,12 June 2022,4 June 2023,PDF,2,10,0,0,65,8
People's Defence Force -Mandalay,11 August 2022,28 September 2022,PDF,1,3,0,0,21,0
Student Armed Force,27 January 2023,10 April 2023,PDF,2,14,0,0,24,0
The Value of Young Men PDF,31 May 2022,12 February 2023,PDF,3,9,0,3,15,0
Future Hero PDF,20 July 2022,19 June 2023,PDF,1,9,0,0,24,0
M7 People’s Defence Force,4 December 2022,29 May 2023,PDF,1,7,0,0,12,7
Man Swei Kyar PDF,12 July 2022,20 February 2023,PDF,1,11,0,9,20,0
Special Attacking Force (SAF) - Upper Burma,29 April 2022,5 March 2023,PDF,7,10,4,0,57,0
Anonymous Force Mandalay (AFM),25 June 2022,23 December 2022,PDF,6,15,0,2,4,0
Bo Ta Say PDF - Pauk,27 January 2023,5 June 2023,PDF,2,12,0,0,34,0
Chauk Guerrilla Force (CHK),23 December 2022,21 June 2023,PDF,3,14,1,1,11,0
Hpar Shwe Kyaw PDF,9 June 2022,8 April 2023,PDF,1,6,0,0,13,0
Killers United PDF,16 May 2022,5 June 2022,PDF,2,4,0,0,8,0
Nat Sit Thi PDF,29 October 2022,7 April 2023,PDF,4,8,0,3,6,0
No More Dictatorship PDF,4 August 2022,8 July 2023,PDF,8,29,0,0,4,0
PDF - Kalay District,4 June 2022,29 June 2023,PDF,3,14,0,0,88,1
Royal Seven PDF,9 January 2023,17 February 2023,PDF,2,4,0,0,9,0
TLF PDF - Yso,6 January 2023,28 May 2023,PDF,3,4,0,1,4,0
Tu Mee Fighter PDF,2 May 2022,19 August 2022,PDF,2,4,0,0,41,0
Urban Guerrilla Force - Kalay,26 November 2022,29 June 2023,PDF,1,16,1,1,69,1
Indaw Revolution (IR),29 April 2022,23 May 2023,PDF,3,19,5,1,198,4
Mine Prince Underground Guerrilla Force,22 August 2022,4 July 2023,PDF,2,7,0,0,9,0
Pauk Revolution Front (PRF),22 August 2022,28 June 2023,PDF,2,12,3,0,25,0
People's Revolution Army - PRA,9 June 2022,3 April 2023,PDF,3,9,0,0,74,6
Special Regional Attack Force (S.R.A.F),9 March 2022,12 June 2023,PDF,4,11,0,0,14,0
Taze People Comrades,29 April 2022,22 February 2023,PDF,3,13,0,0,101,0
White Horse King Guerrilla Force,28 May 2022,4 May 2023,PDF,3,14,0,0,9,0
Yedashe PDF,26 May 2022,9 July 2023,PDF,3,21,0,6,48,0
Black Leopard Army,21 November 2022,7 July 2023,PDF,3,13,0,0,11,2
Dawei South Public Defence Force - DSPDF,26 June 2022,12 June 2023,PDF,1,8,0,0,18,6
Garuda King Monywa,23 October 2022,25 March 2023,PDF,1,9,0,0,18,1
Indaw PDF,23 June 2022,11 June 2023,PDF,2,19,3,5,89,11
Jungle Hunter PDF,12 November 2022,3 June 2023,PDF,2,7,0,0,3,0
Monywa Satan,7 May 2022,4 June 2023,PDF,1,13,1,0,32,0
People Revolution Force Kyaukse (PRFK),20 September 2022,1 March 2023,PDF,3,11,17,3,6,1
Spring Comrades PDF,9 September 2022,30 May 2023,PDF,3,8,1,0,42,0
Weretiger PDF,5 June 2022,22 June 2022,PDF,1,4,0,0,0,0
Yebyu PDF,23 June 2022,30 June 2023,PDF,2,16,8,0,32,3
GHOST RIDER Special Task Force BURMA,12 May 2022,14 February 2023,PDF,2,11,0,0,49,0
Royal Pakokku Underground Force,31 October 2022,9 March 2023,PDF,3,6,0,1,8,1
Tein Hlwar Moke Seik PDF,20 November 2022,20 March 2023,PDF,1,8,0,0,16,0
Thaton District PDF,2 July 2022,16 June 2023,PDF,3,16,0,0,7,1
TKGF,17 September 2022,5 January 2023,PDF,1,3,0,0,6,0
Bago Region PDF,28 April 2022,7 June 2023,PDF,10,24,0,6,43,1
Desert's Hawk PDF,18 May 2022,28 March 2023,PDF,2,4,0,0,4,0
GOBA Moe Kyoe PDF,18 September 2022,7 June 2023,PDF,3,6,0,2,14,1
Karenni Generation - Z (KGZ),19 September 2022,23 September 2022,PDF,1,5,0,0,3,4
Taungtha PDF,30 April 2022,18 April 2023,PDF,5,11,0,1,9,0
Armed Revolutionary Force K.U,28 May 2022,7 November 2022,PDF,2,7,0,0,25,0
Buffalo Soldiers Freedom Force,19 February 2023,25 June 2023,PDF,3,8,0,1,18,1
DKBA-5 - Democratic Karen Benevolent Army - Brigade 5,1 June 2021,16 February 2023,EAO,3,13,1,0,49,4
God Of Monywa PDF,30 May 2022,6 July 2023,PDF,2,10,0,0,23,0
GOM PDF,9 January 2023,9 January 2023,PDF,1,3,0,0,4,0
Homalin PDF 124,11 November 2022,6 June 2023,PDF,1,9,1,0,74,3
Khin-U Special Force Organization,30 September 2022,8 July 2023,PDF,1,14,0,0,64,1
Myanmar Revolution Rangers Force (Mandalay),28 April 2022,2 September 2022,PDF,5,16,0,1,2,0
NGU FF - Mandalay PDF,10 May 2022,5 February 2023,PDF,5,12,0,0,24,0
Taik Tain PDF,20 October 2022,4 July 2023,PDF,2,8,0,0,45,0
Daung Lay LPDF,4 April 2023,23 June 2023,PDF,2,4,0,0,17,1
Daung Ta Mar PDF,4 April 2023,23 June 2023,PDF,2,4,0,0,17,1
Democratic Guerrillas Force (DGF Lower Chindwin),13 May 2022,31 May 2023,PDF,3,11,1,0,35,0
Democratic Guerrillas Force (DGF),19 October 2022,25 June 2023,PDF,1,9,0,0,15,0
G4G Defence Force,8 July 2022,30 November 2022,PDF,2,10,0,0,26,0
Justice Soldier - PDF,1 November 2022,7 July 2023,PDF,3,12,0,0,45,1
K.P.K PDF,14 June 2022,9 May 2023,PDF,1,8,10,0,37,0
Pon Taung Tiger PDF,29 December 2021,26 March 2023,PDF,1,8,0,0,5,0
Young Revolution Front - YRF,2 May 2022,28 June 2023,PDF,1,11,0,0,79,0
Htilin PDF,10 October 2021,16 November 2022,PDF,3,14,0,0,25,0
Mother Son Mandalay Force,19 June 2022,18 July 2022,PDF,5,14,0,1,2,0
Pakokku Thurain,23 December 2022,27 June 2023,PDF,2,7,5,0,12,2
Pauk Viper Guerrilla Force,20 November 2022,30 November 2022,PDF,1,7,0,0,22,0
Yan Shin Local PDF,12 January 2023,28 June 2023,PDF,3,8,0,0,31,0
Future Star PDF,25 July 2022,29 December 2022,PDF,2,8,0,0,7,0
Monywa Peregine PDF,5 June 2022,10 January 2023,PDF,3,7,0,0,47,0
Myaung Falcon PDF,2 May 2022,7 June 2022,PDF,2,2,0,0,48,0
Nyaung-U District PDF,23 December 2022,2 July 2023,PDF,3,8,0,0,7,1
Ye-U PDF,7 May 2022,23 June 2023,PDF,3,16,6,0,92,11
A Pyone Ma Pyat Tae Ga Tone,7 June 2023,28 June 2023,PDF,2,5,0,0,10,0
Badassess Burma Force,7 June 2023,28 June 2023,PDF,2,5,0,0,10,0
Black Wolf PDF - Mdy,23 May 2022,21 March 2023,PDF,2,6,2,0,39,0
Golden Deer Hunter PDF,30 June 2022,29 December 2022,PDF,2,5,0,0,9,0
KDK PDF Khin-U,7 November 2022,25 January 2023,PDF,1,5,0,0,12,0
KUG-GYZ,15 May 2022,31 December 2022,PDF,4,9,0,0,29,1
MDDS,27 March 2023,7 July 2023,PDF,4,7,0,0,9,0
One Local PDF,8 October 2022,13 June 2023,PDF,4,7,0,0,30,0
People's Defence Force - Mandalay,10 July 2021,28 November 2022,PDF,7,11,1,0,61,1
Ta Zauk Kan Ba Gyan PDF,2 June 2022,7 July 2023,PDF,2,7,0,0,16,0
Tamarmyay Guerrilla,13 May 2022,7 July 2023,PDF,1,5,0,0,6,0
TBK Wild Elephants Guerrilla Force,10 May 2022,29 April 2023,PDF,5,14,2,0,38,9
Truth Keeping Force - Amarapura,28 August 2022,23 March 2023,PDF,5,14,0,2,3,0
Venom,27 September 2022,16 February 2023,PDF,1,8,1,0,20,0
