Party,First Operation Date,Last Known Operation Date,Party Color 2,Townships of Operations,Total Number of Incidents,Ordinary Civilian Killed,Alleged Pro-SAC Civilians Killed,Security Forces Killed,Resistance Fighters Killed
Myingyan District Drone Strike,7 March 2023,11 June 2023,PDF,12,44,0,2,96,0
Nagar Nyi Naung PDF,4 May 2022,4 July 2023,PDF,9,31,1,0,135,10
Brother Defence Force BDF,29 March 2022,23 June 2023,PDF,6,29,0,0,15,0
Pentagram PDF,5 May 2022,29 May 2023,PDF,6,49,0,7,106,2
Taze PDF,22 May 2022,4 June 2023,PDF,3,69,0,0,396,6
SSA-S/RCSS - Shan State Army South / Restoration Council of Shan State,9 February 2021,28 May 2023,EAO,15,101,12,0,5,0
TNLA / PSLF - Ta'ang National Liberation Army - Palaung State Liberation Front,12 February 2021,10 July 2023,EAO,15,89,12,0,103,2
Natogyi PDF,27 April 2022,8 July 2023,PDF,6,76,0,5,204,2
Triple Two Task Force,8 February 2022,26 June 2023,PDF,4,29,0,0,53,3
Alpha 7,2 May 2022,30 January 2023,PDF,2,21,0,1,60,4
Kani People's Defence Force (KLG),8 May 2022,7 July 2023,PDF,4,31,0,0,201,10
MGN Tiger,2 May 2022,2 February 2023,PDF,5,21,0,0,113,2
Urban Underground Revolution Force - Yesagyo (UURF-YSO),22 May 2022,7 July 2023,PDF,4,37,2,1,47,2
DOG Killer PDF,12 August 2022,17 June 2023,PDF,4,36,0,0,87,0
Bo Kaung Kin Revolution Alliance,15 August 2022,24 May 2023,PDF,8,42,0,2,85,4
Fight For Federal,22 July 2022,9 July 2023,PDF,2,32,0,0,11,0
Mandalay PDF,22 January 2022,6 June 2023,PDF,15,48,1,5,168,6
Pekon PDF,12 August 2021,27 June 2023,PDF,4,59,8,0,171,23
B-21 Kani PDF,17 June 2022,8 July 2023,PDF,4,20,0,0,90,0
Farmers Revolution Force - CHU,26 March 2022,12 June 2023,PDF,4,39,0,6,239,0
Cho Maing Maing Yinmarbin - Kani Alliance Force,5 April 2022,13 June 2023,PDF,4,33,3,1,118,2
Sar Taung Thunder PDF,17 July 2022,3 July 2023,PDF,5,41,2,8,240,6
Tha Byay Nyo Guerrilla Force,15 June 2022,12 June 2023,PDF,3,33,0,0,62,0
11 Brothers Revolution Force,2 May 2022,3 June 2023,PDF,6,23,0,0,157,0
Chindwin Defence Force,4 May 2022,12 June 2023,PDF,4,19,0,0,49,0
Loikaw PDF,12 May 2022,19 June 2023,PDF,7,42,6,0,75,14
Myaing Village Revolution Front (MVRF),15 May 2022,24 May 2023,PDF,4,32,0,0,66,3
27 Revolution Force,2 March 2022,24 May 2023,PDF,5,20,1,0,147,2
Gangaw District PDF,6 July 2022,2 July 2023,PDF,6,67,3,0,165,2
SHAR HTOO WAW Technical Force,3 December 2022,7 July 2023,PDF,12,28,0,0,13,0
Pale PDF,29 January 2022,14 June 2023,PDF,4,36,0,1,101,8
Zarmani Guerrilla Force,12 November 2022,23 June 2023,PDF,13,34,0,2,98,1
Kyaikto Revolution Force - KRF,3 June 2022,8 July 2023,PDF,2,42,0,2,51,0
MS PDF,8 September 2022,5 July 2023,PDF,9,26,0,0,85,0
Salingyi Border Task Force - SBTF,14 June 2022,23 June 2023,PDF,7,23,0,0,20,0
Salingyi G-Z PDF,4 May 2022,26 June 2023,PDF,3,19,0,0,37,1
Young Force (UG),11 May 2022,2 July 2023,PDF,5,35,1,2,25,4
Eagle Defence Force,14 October 2022,5 June 2023,PDF,8,24,0,0,18,0
Tanintharyi PDF,8 May 2022,20 June 2023,PDF,4,58,3,20,117,3
Myinmu Lightning Guerrilla Force,2 February 2022,13 June 2023,PDF,4,29,1,0,117,1
People's Liberation Army - PLA,9 May 2022,4 June 2023,PDF,6,34,10,0,215,4
ABSDF -  All Burma Students' Democratic Front,2 November 2021,22 June 2023,EAO,9,54,10,2,188,1
Bo Tauk Tun (MBTT),5 May 2022,30 April 2023,PDF,4,36,0,0,119,1
Yat Kha Brother LPDF (MDY),20 September 2022,5 June 2023,PDF,9,20,19,2,56,1
Black Shadow PDF,7 August 2022,7 July 2023,PDF,5,21,0,0,60,2
Yesagyo Revolution Group (YRG),7 June 2022,7 July 2023,PDF,4,25,0,1,52,5
Myaung Revolution Army - MRA,9 March 2022,6 July 2023,PDF,7,50,0,0,289,3
Ngwe Dwin Revolution Force (NDRF),23 November 2022,29 June 2023,PDF,5,26,0,0,102,1
SSA-N / SSPP - Shan State Army North / Shan State Progress Party,12 February 2021,6 July 2023,EAO,14,76,11,1,3,0
MGN Ranger,2 May 2022,15 November 2022,PDF,3,13,0,0,104,0
Ayadaw PDF,3 May 2022,10 July 2023,PDF,6,39,0,0,151,23
Earthquake PDF,24 January 2022,21 June 2023,PDF,4,37,0,1,41,3
Chin National Defense Force (CNDF),10 May 2022,11 July 2023,PDF,4,51,3,0,222,15
Black Dragon Special Task Force,19 March 2022,25 February 2023,PDF,6,49,0,8,63,0
YSO Southern PDF,13 May 2022,15 June 2023,PDF,5,22,0,1,45,3
Zero Power PDF,27 June 2022,10 April 2023,PDF,4,26,0,0,107,1
Natogyi Regional Defence Force - NRDF,7 May 2022,18 May 2023,PDF,7,36,2,7,106,2
BED Nga Nyo PDF,5 June 2022,23 June 2023,PDF,5,15,0,0,13,0
T.G.R Women Drone Force,2 August 2022,6 June 2023,PDF,5,33,2,0,49,0
Black Wolf PDF,30 January 2022,4 June 2023,PDF,10,41,2,4,143,9
Shwebo Federal Army (SBFA),9 July 2022,30 May 2023,PDF,3,17,0,4,28,3
Khin-U PDF,1 May 2022,28 June 2023,PDF,3,43,4,0,311,12
Fight For Freedom (F.F.F),5 June 2022,23 June 2023,PDF,4,12,0,0,43,1
Mingin PDF,5 May 2022,9 July 2023,PDF,3,59,2,0,158,2
Royal Tiger Guerilla Force,7 May 2022,8 July 2023,PDF,6,29,0,0,37,0
Falcon PDF,12 November 2022,5 June 2023,PDF,8,17,0,0,15,0
Kyaukse District Defence Force - KDDF,3 May 2022,3 July 2023,PDF,9,30,2,3,111,3
