SR,Township,Town,Ward,Ward_MMR,,,
Mandalay,Nyaung-U,Ngathayauk Town,No (4) Ward,အမှတ် (၄)ရပ်ကွက်,,,
Mandalay,Nyaung-U,Nyaung-U Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Mandalay,Nyaung-U,Nyaung-U Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Mandalay,Nyaung-U,Nyaung-U Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Mandalay,Nyaung-U,Nyaung-U Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Mandalay,Nyaung-U,Nyaung-U Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Mandalay,Nyaung-U,Nyaung-U Town,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Mandalay,Nyaung-U,Nyaung-U Town,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Mandalay,Patheingyi,Patheingyi Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Mandalay,Pyawbwe,Pyawbwe Town,Mandalay Tan Ward,မန္တလေးတန်းရပ်ကွက်,,,
Mandalay,Pyawbwe,Pyawbwe Town,Myin Bet Ward,မြင်းဘတ်ရပ်ကွက်,,,
Mandalay,Pyawbwe,Pyawbwe Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Mandalay,Pyawbwe,Pyawbwe Town,Myo Thit Ward,မြို့သစ်ရပ်ကွက်,,,
Mandalay,Pyawbwe,Pyawbwe Town,Pyi Thar Yar Ward,ပြည်သာယာရပ်ကွက်,,,
Mandalay,Pyawbwe,Pyawbwe Town,Shan Pwe Ward,ရှမ်းပွဲရပ်ကွက်,,,
Mandalay,Pyawbwe,Pyawbwe Town,Shwe Pyi Yan Aung Ward,ရွှေပြည်ရန်အောင်ရပ်ကွက်,,,
Mandalay,Pyawbwe,Pyawbwe Town,Shwe Pyi Yan Lon Ward,ရွှေပြည်ရန်လုံရပ်ကွက်,,,
Mandalay,Pyawbwe,Pyawbwe Town,Shwe Pyi Yan Naing Ward,ရွှေပြည်ရန်နိုင်ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Ga Gyi) Ward,(ဃ) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Ga Nge) Ward,(ဂ) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Ka Gyi) Ward,(က) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Kha Gway) Ward,(ခ) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Nga) Ward,(င) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Nya) Ward,(ည) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Sa Lein) Ward,(ဆ) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Sa Lone) Ward,(စ) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Ta Ta Lin Cheik) Ward,(ဋ) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Za Gwe) Ward,(ဇ) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,(Za Myin Zwe) Ward,(ဈ) ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,Chan Mya Thar Yar Ward,ချမ်းမြသာယာရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,Htein Kone Ward,ထိန်ကုန်းရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,Ngwe Taw Kyi Kone Ward,ငွေတော်ကြည်ကုန်းရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,Ta Khun Taing Ward,တံခွန်တိုင်ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,Taung Myint Ward,တောင်မြင့်ရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,Thin Pan Kone Ward,သင်ပန်းကုန်းရပ်ကွက်,,,
Mandalay,Pyigyitagon,Pyigyitagon Town,Yar Taw Ward,ယာတော်ရပ်ကွက်,,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Nan Da Wun Ward (Yat Kwet Gyi (9) Ward),နန္ဒဝန်ရပ်ကွက် (ရပ်ကွက်ကြီး-၉),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Pa Day Thar Ward (Yat Kwet Gyi (8) Ward),ပဒေသာရပ်ကွက် (ရပ်ကွက်ကြီး-၈),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (1) Ward,ရပ်ကွက်ကြီး (၁),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (10) Ward,ရပ်ကွက်ကြီး (၁၀),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (11) Ward,ရပ်ကွက်ကြီး (၁၁),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (12) Ward,ရပ်ကွက်ကြီး (၁၂),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (13) Ward,ရပ်ကွက်ကြီး (၁၃),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (14) Ward,ရပ်ကွက်ကြီး (၁၄),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (15) Ward,ရပ်ကွက်ကြီး (၁၅),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (16) Ward,ရပ်ကွက်ကြီး (၁၆),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (17) Ward,ရပ်ကွက်ကြီး (၁၇),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (18) Ward,ရပ်ကွက်ကြီး (၁၈),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (19) Ward,ရပ်ကွက်ကြီး (၁၉),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (2) Ward,ရပ်ကွက်ကြီး (၂),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (20) Ward,ရပ်ကွက်ကြီး (၂၀),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (21) Ward,ရပ်ကွက်ကြီး (၂၁),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (3) Ward,ရပ်ကွက်ကြီး (၃),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (4) Ward,ရပ်ကွက်ကြီး (၄),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (5) Ward,ရပ်ကွက်ကြီး (၅),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (6) Ward,ရပ်ကွက်ကြီး (၆),,,
Mandalay,Pyinoolwin,Pyinoolwin Town,Yat Kwet Gyi (7) Ward,ရပ်ကွက်ကြီး (၇),,,
Mandalay,Singu,Singu Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Mandalay,Singu,Singu Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Mandalay,Sintgaing,Sintgaing Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Mandalay,Sintgaing,Sintgaing Town,Myo Thit Ward,မြို့သစ်ရပ်ကွက်,,,
Mandalay,Sintgaing,Sintgaing Town,Ta Yoke Su Ward,တရုပ်စုရပ်ကွက်,,,
Mandalay,Sintgaing,Sintgaing Town,Yan Aung Myin Ward,ရန်အောင်မြင်ရပ်ကွက်,,,
Mandalay,Sintgaing,Sintgaing Town,Ywar Naing Ward,ရွာနိုင်ရပ်ကွက်,,,
Mandalay,Tada-U,Tada-U Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Mandalay,Tada-U,Tada-U Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Mandalay,Tada-U,Tada-U Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Mandalay,Taungtha,Taungtha Town,Bu Tar Kone Ward,ဘူတာကုန်းရပ်ကွက်,,,
Mandalay,Taungtha,Taungtha Town,Hpa Yar Gyi (West) Ward,ဘုရားကြီးအနောက်ရပ်ကွက်,,,
Mandalay,Taungtha,Taungtha Town,Min Su Ward,မင်းစုရပ်ကွက်,,,
Mandalay,Taungtha,Taungtha Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Mandalay,Taungtha,Taungtha Town,Tan Myint Kyaung Ward,တန်းမြင့်ကျောင်းရပ်ကွက်,,,
Mandalay,Taungtha,Taungtha Town,Zay Ward,ဈေးရပ်ကွက်,,,
Mandalay,Thabeikkyin,Takaung Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Mandalay,Thabeikkyin,Takaung Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Mandalay,Thabeikkyin,Takaung Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Mandalay,Thabeikkyin,Thabeikkyin Town,Ka Beit Ward,ကဘဲ့ရပ်ကွက်,,,
Mandalay,Thabeikkyin,Thabeikkyin Town,Seik Kan Ward,ဆိပ်ကမ်းရပ်ကွက်,,,
Mandalay,Thazi,Thazi Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Mandalay,Thazi,Thazi Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Mandalay,Thazi,Thazi Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Mandalay,Thazi,Thazi Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Mandalay,Thazi,Thazi Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Mandalay,Thazi,Thazi Town,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Mandalay,Thazi,Thazi Town,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Mandalay,Wundwin,Wundwin Town,Thea Taw Myo Ma No (1) Ward,သဲတောမြို့မအမှတ်(၁)ရပ်ကွက်,,,
Mandalay,Wundwin,Wundwin Town,Thea Taw Myo Ma No (2) Ward,သဲတောမြို့မအမှတ်(၂)ရပ်ကွက်,,,
Mandalay,Wundwin,Wundwin Town,Thea Taw Myo Ma No (3) Ward,သဲတောမြို့မအမှတ်(၃)ရပ်ကွက်,,,
Mandalay,Wundwin,Wundwin Town,Wundwin Myo Ma No (1) Ward,ဝမ်းတွင်းမြို့မအမှတ်(၁)ရပ်ကွက်,,,
Mandalay,Wundwin,Wundwin Town,Wundwin Myo Ma No (2) Ward,ဝမ်းတွင်းမြို့မအမှတ်(၂)ရပ်ကွက်,,,
Mandalay,Wundwin,Wundwin Town,Wundwin Myo Ma No (3) Ward,ဝမ်းတွင်းမြို့မအမှတ်(၃)ရပ်ကွက်,,,
Mandalay,Yamethin,Yamethin Town,Aung Min Ga Lar Ward,အောင်မင်္ဂလာရပ်ကွက်,,,
Mandalay,Yamethin,Yamethin Town,Kyaung Taik Su Ward,ကျောင်းတိုက်စုရပ်ကွက်,,,
Mandalay,Yamethin,Yamethin Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Mandalay,Yamethin,Yamethin Town,Shwe Si Khon Ward,ရွှေစည်းခုံရပ်ကွက်,,,
Mandalay,Yamethin,Yamethin Town,War Toe Ward,ဝါတိုးရပ်ကွက်,,,
Nay Pyi Taw,Det Khi Na Thi Ri,Det Khi Na Thi Ri Town,Ba La Theik Di Ward,ဗလသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Det Khi Na Thi Ri,Det Khi Na Thi Ri Town,Det Khi Na Thi Ri Ward,ဒက္ခိဏသီရိရပ်ကွက်,,,
Nay Pyi Taw,Det Khi Na Thi Ri,Det Khi Na Thi Ri Town,Dha Na Theik Di Ward,ဓနသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Det Khi Na Thi Ri,Det Khi Na Thi Ri Town,Nyar Na Theik Di Ward,ဉာဏသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Det Khi Na Thi Ri,Det Khi Na Thi Ri Town,Shwe In Gyin Ward,ရွှေအင်ကြင်းရပ်ကွက်,,,
Nay Pyi Taw,Det Khi Na Thi Ri,Det Khi Na Thi Ri Town,Thu Kha Theik Di Ward,သုခသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Det Khi Na Thi Ri,Det Khi Na Thi Ri Town,Wun Na Theik Di Ward,ဝဏ္ဏသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Lewe,Lewe Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Nay Pyi Taw,Lewe,Lewe Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Nay Pyi Taw,Lewe,Lewe Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Nay Pyi Taw,Lewe,Lewe Town,No (4) Ward,အမှတ် (၄) ရပ်ကွက်,,,
Nay Pyi Taw,Lewe,Lewe Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Nay Pyi Taw,Lewe,Lewe Town,No (6) Ward,အမှတ် (၆) ရပ်ကွက်,,,
Nay Pyi Taw,Lewe,Lewe Town,No (7) Ward,အမှတ် (၇) ရပ်ကွက်,,,
Nay Pyi Taw,Oke Ta Ra Thi Ri,Oke Ta Ra Thi Ri Town,Oke Ta Ra Thi Ri Ward,ဥတ္တရသီရိရပ်ကွက်,,,
Nay Pyi Taw,Oke Ta Ra Thi Ri,Oke Ta Ra Thi Ri Town,Shwe Nant Thar Ward,ရွှေနံသာရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Aung Thar Yar Ward,အောင်သာယာရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Ba Yint Naung Ward,ဘုရင့်နောင်ရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Kyi Taung Kan No (1) Ward (Myo Thit),ကျည်တောင်ကန်အမှတ် (၁) ရပ်ကွက် (မြို့သစ်),,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Kyi Taung Kan No (2) Ward (Myo Ma),ကျည်တောင်ကန်အမှတ် (၂) ရပ်ကွက် (မြို့မ),,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Kyi Taung Kan No (3) Ward (Myo Haung),ကျည်တောင်ကန်အမှတ် (၃) ရပ်ကွက် (မြို့ဟောင်း),,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Kyi Taung Kan No (4) Ward (Kan Nar),ကျည်တောင်ကန်အမှတ် (၄) ရပ်ကွက် (ကမ်းနား),,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Kyi Taung Kan No (5) Ward (Sone Kone),ကျည်တောင်ကန်အမှတ် (၅) ရပ်ကွက် (ဆုံကုန်း),,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Kyi Taung Kan No (6) Ward (Thae Kyun),ကျည်တောင်ကန်အမှတ် (၆) ရပ်ကွက် (သဲကျွန်း),,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Min Ga Lar Di Pa Ward,မင်္ဂလာဒီပရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Na Wa Day Ward,နဝဒေးရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Shin Phyu Shin Ward,ဆင်ဖြူရှင်ရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Ta Pin Shwe Htee Ward,တပင်ရွှေထီးရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Tha Pyay San Ward,သပြေစမ်းရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Thu Kha Di Pa Ward,သုခဒီပရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Wunna Di Pa Ward,ဝဏ္ဏဒီပရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Ya Da Nar Di Pa Ward,ရတနာဒီပရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Za Wa Na Di Pa Ward,ဇဝနဒီပရပ်ကွက်,,,
Nay Pyi Taw,Poke Ba Thi Ri,Poke Ba Thi RiTown,Zay Yar Di Pa Ward,ဇေယျာဒီပရပ်ကွက်,,,
Nay Pyi Taw,Pyinmana,Pyinmana Town,Baw Ga Wa Di Ward,ဘောဂဝတီရပ်ကွက်,,,
Nay Pyi Taw,Pyinmana,Pyinmana Town,Min Ga Lar Ward,မင်္ဂလာရပ်ကွက်,,,
Nay Pyi Taw,Pyinmana,Pyinmana Town,Shwe Chi Ward,ရွှေချီရပ်ကွက်,,,
Nay Pyi Taw,Pyinmana,Pyinmana Town,U Yin Su Ward,ဥယျာဉ်စုရပ်ကွက်,,,
Nay Pyi Taw,Pyinmana,Pyinmana Town,Yan Aung (1) Ward,ရန်အောင် (၁) ရပ်ကွက်,,,
Nay Pyi Taw,Pyinmana,Pyinmana Town,Yan Aung (2) Ward,ရန်အောင် (၂) ရပ်ကွက်,,,
Nay Pyi Taw,Pyinmana,Pyinmana Town,Ywar Kauk Ward,ရွာကောက်ရပ်ကွက်,,,
Nay Pyi Taw,Tatkon,Tatkon Town,Ah Naw Ra Htar Ward,အနော်ရထာရပ်ကွက်,,,
Nay Pyi Taw,Tatkon,Tatkon Town,Aung Zay Ya Ward,အောင်ဇေယျရပ်ကွက်,,,
Nay Pyi Taw,Tatkon,Tatkon Town,Ba Yint Naung Ward,ဘုရင့်နောင်ရပ်ကွက်,,,
Nay Pyi Taw,Tatkon,Tatkon Town,Bo Min Yaung Ward,ဗိုလ်မင်းရောင်ရပ်ကွက်,,,
Nay Pyi Taw,Tatkon,Tatkon Town,Mya Wa Di Ward,မြဝတီရပ်ကွက်,,,
Nay Pyi Taw,Tatkon,Tatkon Town,Sa Yar San Ward,ဆရာစံရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Aung Zabu Ward,အောင်ဇမ္ဗူရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Ba La Theik Di Ward,ဗလသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Baw Ga Theik Di Ward,ဘောဂသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Dha Na Theik Di Ward,ဓနသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Min Ga Lar Theik Di Ward,မင်္ဂလာသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Nyar Na Theik Di Ward,ဉာဏသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Pyin Nyar Theik Di Ward,ပညာသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Shwe Kyar Pin Ward,ရွှေကြာပင်ရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Tha Pyay Kone Ward,သပြေကုန်းရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Thu Kha Theik Di Ward,သုခသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Wun Na Theik Di Ward,ဝဏ္ဏသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Za Bu Thi Ri,Za Bu Thi Ri Town,Zay Ya Theik Di Ward,ဇေယျသိဒ္ဓိရပ်ကွက်,,,
Nay Pyi Taw,Zay Yar Thi Ri,Zay Yar Thi Ri Town,Ah Naw Ra Htar Ward,အနော်ရထာရပ်ကွက်,,,
Nay Pyi Taw,Zay Yar Thi Ri,Zay Yar Thi Ri Town,Aung Zay Ya Ward,အောင်ဇေယျရပ်ကွက်,,,
Nay Pyi Taw,Zay Yar Thi Ri,Zay Yar Thi Ri Town,Kyan Sit Thar Ward,ကျန်စစ်သားရပ်ကွက်,,,
Nay Pyi Taw,Zay Yar Thi Ri,Zay Yar Thi Ri Town,Poke Par Kone Ward,ပုပ္ပါးကုန်းရပ်ကွက်,,,
Nay Pyi Taw,Zay Yar Thi Ri,Zay Yar Thi Ri Town,Pyi San Aung Ward,ပြည်စံအောင်ရပ်ကွက်,,,
Rakhine,Ann,Ann Town,Ah Nauk Paing Ward,အနောက်ပိုင်းရပ်ကွက်,,,
Rakhine,Ann,Ann Town,Ah Shey Paing Ward,အရှေ့ပိုင်းရပ်ကွက်,,,
Rakhine,Ann,Ann Town,Ah Soe Ya Ah Hmu Htan Ward,အစိုးရအမှုထမ်းရပ်ကွက်,,,
Rakhine,Ann,Ann Town,Lay Yin Kwin Ward,လေယာဉ်ကွင်းရပ်ကွက်,,,
Rakhine,Ann,Ann Town,Myauk Bet Ward,​မြောက်ဘက်ရပ်ကွက်,,,
Rakhine,Ann,Ann Town,Myauk Paing Ward,မြောက်ပိုင်းရပ်ကွက်,,,
Rakhine,Ann,Ann Town,No (5) Ward,အမှတ် (၅) ရပ်ကွက်,,,
Rakhine,Ann,Tat Taung Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Rakhine,Ann,Tat Taung Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Rakhine,Ann,Tat Taung Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Rakhine,Buthidaung,Buthidaung Town,Ah Nauk Ward,အနောက်ရပ်ကွက်,,,
Rakhine,Buthidaung,Buthidaung Town,Mee Ya Htar Seik Ward,မီးရထားဆိပ်ရပ်ကွက်,,,
Rakhine,Buthidaung,Buthidaung Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Rakhine,Buthidaung,Buthidaung Town,Myo Thit (South) Ward,မြို့သစ်တောင်ရပ်ကွက်,,,
Rakhine,Buthidaung,Buthidaung Town,Myo Thit Ward,မြို့သစ်ရပ်ကွက်,,,
Rakhine,Buthidaung,Buthidaung Town,Taung Ward,တောင်ရပ်ကွက်,,,
Rakhine,Buthidaung,Buthidaung Town,Tha Pyay Kone Ward,သပြေကုန်းရပ်ကွက်,,,
Rakhine,Gwa,Gwa Town,Kin Yone Ward,ကင်းရုံးရပ်ကွက်,,,
Rakhine,Gwa,Gwa Town,Myo Ma Ward,မြို့မရပ်ကွက်,,,
Rakhine,Gwa,Gwa Town,Ywar Ma Ward,ရွာမရပ်ကွက်,,,
Rakhine,Gwa,Kyeintali Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Rakhine,Gwa,Kyeintali Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Rakhine,Gwa,Kyeintali Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Ah Lel Paing Ward,အလယ်ပိုင်းရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Ah Nauk Paing Ward,အနောက်ပိုင်းရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Ah Shey Paing Ward,အရှေ့ပိုင်းရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Ah Soe Ya Ward,အစိုးရရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Ah Yar Shi Ward,အရာရှိရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Ka Nyin Taw Ward,ကညင်တောရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Ku Lar Bar Taung Ward,ကုလားဘာတောင်ရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Ku Lar Paik Seik Ward,ကုလားပိုက်ဆိပ်ရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Myit Nar Tan Ward,မြစ်နားတန်းရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Nga La Pwayt Ward,ငလပွေ့ရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Pyin Hpyu Maw Ward,ပြင်ဖြူမော်ရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Rakhine Paik Seik Ward,ရခိုင်ပိုက်ဆိပ်ရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Taung Yin Ward,တောင်ရင်းရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Than Pan Chaung Ward,သံပန်ချောင်းရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Toe Cheit Ward,တိုးချဲ့ရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Zay Di (South) Ward,စေတီတောင်ရပ်ကွက်,,,
Rakhine,Kyaukpyu,Kyaukpyu Town,Zay Di Ward,စေတီရပ်ကွက်,,,
Rakhine,Kyaukpyu,Sa Ne Town,Ah Lel Paing Ward,အလယ်ပိုင်းရပ်ကွက်,,,
Rakhine,Kyaukpyu,Sa Ne Town,Htein Dway Ward,ထိန်ဒွေရပ်ကွက်,,,
Rakhine,Kyaukpyu,Sa Ne Town,Kan Pyin Ward,ကံပြင်ရပ်ကွက်,,,
Rakhine,Kyaukpyu,Sa Ne Town,Shwe Hin Thar Ward,ရွှေဟင်္သာရပ်ကွက်,,,
Rakhine,Kyaukpyu,Sa Ne Town,Taung Ngu Su Ward,တောင်ငူစုရပ်ကွက်,,,
Rakhine,Kyauktaw,Kyauktaw Town,Kyauk Taw Ward,ကျောက်တော်ရပ်ကွက်,,,
Rakhine,Kyauktaw,Kyauktaw Town,Myo Thit Ward,မြို့သစ်ရပ်ကွက်,,,
Rakhine,Kyauktaw,Kyauktaw Town,Paik Thei Ward,ပိုက်သည်ရပ်ကွက်,,,
Rakhine,Kyauktaw,Kyauktaw Town,Pyi Taw Thar Ward,ပြည်တော်သာရပ်ကွက်,,,
Rakhine,Kyauktaw,Kyauktaw Town,Shan Ywar Ward,ရှမ်းရွာရပ်ကွက်,,,
Rakhine,Maungdaw,Kha Maung Seik Town,Ah San Kyaw Ward,အစံကျော်ရပ်ကွက်,,,
Rakhine,Maungdaw,Kha Maung Seik Town,Ah Shey Paing Ward,အရှေ့ပိုင်းရပ်ကွက်,,,
Rakhine,Maungdaw,Kha Maung Seik Town,Min Kha Maung Ward,မင်းခမောင်းရပ်ကွက်,,,
Rakhine,Maungdaw,Kha Maung Seik Town,Taing Bin Gar Ward,တိုင်းဘင်္ဂါရပ်ကွက်,,,
Rakhine,Maungdaw,Kha Maung Seik Town,Ye Bauk Kyar Ward,ရဲဘောက်ကျာရပ်ကွက်,,,
Rakhine,Maungdaw,Maungdaw Town,Ka Nyin Tan Ward,ကညင်တန်းရပ်ကွက်,,,
