SR,Township,Town,Ward,Ward_MMR,,,
Chin,Thantlang,Hnaring Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Chin,Thantlang,Hnaring Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Chin,Thantlang,Thantlang Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Chin,Thantlang,Thantlang Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Chin,Thantlang,Thantlang Town,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,,,
Chin,Tonzang,Cikha Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Chin,Tonzang,Cikha Town,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,,,
Chin,Tonzang,Tonzang Town,Khualai Ward (Gozan),ခေါလိုင် / ဂိုးဇန်ရပ်ကွက်,,,
Chin,Tonzang,Tonzang Town,Khuavung Ward (Laysan),ခေါဝုန် / လေးဆန်ရပ်ကွက်,,,
Magway,Aunglan,Aunglan Town,Kan Gyi Ward,ကန်ကြီးရပ်ကွက်,,,
Magway,Aunglan,Aunglan Town,Ma Gyi Kone Ward,မကျီးကုန်းရပ်ကွက်,,,
Magway,Aunglan,Aunglan Town,San Chaung Ward,စမ်းချောင်းရပ်ကွက်,,,
Magway,Aunglan,Aunglan Town,Set Yon Ward,စက်ရုံရပ်ကွက်,,,
Magway,Aunglan,Aunglan Town,Ta Yaw Kone Ward,တရော်ကုန်းရပ်ကွက်,,,
Magway,Aunglan,Aunglan Town,Tha Yet Taw Ward,သရက်တောရပ်ကွက်,,,
Magway,Aunglan,Aunglan Town,Ywar Htaung Ward,ရွာထောင်ရပ်ကွက်,,,
Magway,Aunglan,Aunglan Town,Zay Kone Ward,ဈေးကုန်းရပ်ကွက်,,,
Magway,Aunglan,Aunglan Town,Zay Ya Wa Di Ward,ဇေယျဝတီရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (10) Ward,အမှတ် (၁၀) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (11) Ward,အမှတ် (၁၁) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (12) Ward,အမှတ် (၁၂) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (13) Ward,အမှတ် (၁၃) ရပ်ကွက်,,,
Magway,Chauk,Chauk Town,No (14) Ward,အမှတ် (၁၄) ရပ်ကွက်,,,
